Country,Year,State,Station_ID,River_Location,River_Name,Monitoring_Month,"Minimum Temperature For River Water (UOM:Â°C(Centigrade)), Scaling Factor:1","Maximum Temperature For River Water (UOM:Â°C(Centigrade)), Scaling Factor:1","Minimum Value Of Dissolved Oxygen (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Maximum Value Of Dissolved Oxygen (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Minimum Potential Of Hydrogen Value In River Water (UOM:pH), Scaling Factor:1","Maximum Potential Of Hydrogen Value In River Water (UOM:pH), Scaling Factor:1","Minimum Conductivity Level (UOM:Âµmho/cm(micromhospercentimeter)), Scaling Factor:1","Maximum Conductivity Level (UOM:Âµmho/cm(micromhospercentimeter)), Scaling Factor:1","Minimum Biochemical Oxygen Demand (Bod) (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Maximum Biochemical Oxygen Demand (Bod) (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Minimum Of Nitrate (N) Required For River Water (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Maximum Of Nitrate (N) Required For River Water (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Minimum Of Fecal Coliforms Required For River Water (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Maximum Of Fecal Coliforms Required For River Water (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Minimum Total Coliform Required For River Water (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Minimum Total Coliform Required For River Water (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Minimum Fecal Streptococci Required For River Water (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Maximum Fecal Streptococci Required For River Water (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1"
India,2023,Madhya Pradesh,4620,"RIVER AJAB BOURALI AT PETLAWAD DAM PETLAVAD, JHABUA",Ajab,Oct,20,21.5,6.9000000000000004,7.7000000000000002,7.5,8.3000000000000007,300,539,1,1.2,,1.6899999999999999,2,2,21,120,2,2
India,2023,Tamil Nadu,3023,"RIVER VASISTA AT THULUKANNUR AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT, TAMILNADU",Vasista,Aug,26,31,0.29999999999999999,6,6.9000000000000004,8,878,2350,2.7000000000000002,120,0.32000000000000001,4.4299999999999997,9,390000,64,240,2,3
India,2023,Meghalaya,3368,RIVER NONBAH AT PHOTSOHSAT,Nonbah,Apr,13.6,20,6.5999999999999996,8.5999999999999996,6.7000000000000002,7.2999999999999998,31,44,1.1000000000000001,,0.32000000000000001,0.54000000000000004,4,70,93,460,2,3
India,2023,Karnataka,3578,RIVER CAUVERY D/S OF MADDUR WATER SUPPLY TREATMENT PLANT AT BACHALLI,Cauvery,Apr,19,27,6.5,7.2999999999999998,8,8.6999999999999993,218,481,1,3,0.75,2.3999999999999999,68,110,75,150,2,3
India,2023,Tripura,3419,"RIVER MANU AT KUMARGHAT, NORTH TRIPURA",Manu,Jan,21,31,5.2999999999999998,6.4000000000000004,7.0999999999999996,7.7000000000000002,8542,179,1.2,1.8999999999999999,0.69999999999999996,1.7,31,58,150,240,2,3
India,2023,Mizoram,4123,"RIVER, TUIPUI D DARZOKAI, HNAHTHIAL DIST.",Unknown,Oct,17,30,5.7999999999999998,12.699999999999999,6.7999999999999998,8.0999999999999996,51,233,1,,0.02,0.82999999999999996,,,75,210,2,3
India,2023,West Bengal,4710,RIVER HALDI AT NORGHAT,Haldi,Jan,20,34,5,7,8,8.5999999999999996,504,16200,1.1000000000000001,2.7999999999999998,0.29999999999999999,0.63,4000,4900,39,240,2,3
India,2023,Tamil Nadu,50,RIVER CAUVERY AT METTUR,Cauvery,Oct,23,31,5.2000000000000002,6.5,7,,340,1596,1,2.7000000000000002,0.32000000000000001,0.55000000000000004,5,17,64,210,2,3
India,2023,Rajasthan,1288,"RIVER CHAMBAL AT KOTA U/S (PHED INTAKE POINT. NEAR KOTA BARRAGE), RAJASTHAN",Chambal,Sep,18,33,5.2999999999999998,6.7999999999999998,,8.5,339,481,1,1.3,0.62,1.22,26,49,501,980,,
India,2023,Gujarat,10014,"RIVER SABARMATI AT AHMEDABAD U/SHANSOL, AHMEDABAD",Sabarmati,Jul,26,30,4.2000000000000002,7.5999999999999996,7.4000000000000004,8.1999999999999993,278,402,1,1.8,0.40999999999999998,0.93999999999999995,2,33,575,816,,
